frame,t_capture_ms,t_hsv_ms,t_search_ms,t_map_ms,fps,tier_wrist,tier_thumb,tier_index,n_markers
307,0.7002,0.9833,3.112,0.0442,165.24,1,1,1,3
308,0.6888,0.9859,3.4893,0.0513,167.07,1,1,1,3
309,1.2527,1.0174,2.9882,0.0456,166.47,1,1,1,3
310,1.2478,1.0246,2.8507,0.0395,168.36,1,1,1,3
311,0.6876,1.0183,4.4205,0.0435,167.24,1,1,0,2
312,0.5339,1.0204,3.531,0.0418,169.33,1,1,0,2
313,0.5764,1.0127,3.5004,0.0422,171.16,1,1,0,2
314,0.6554,0.9535,3.8327,0.0524,171.58,1,1,0,2
315,0.6199,1.0732,4.3569,0.0375,170.3,1,1,0,2
316,0.5542,0.9576,3.0455,0.0408,174.03,1,1,2,3
317,0.5376,0.9604,3.0554,0.0411,177.47,1,1,1,3
318,0.6025,1.0012,3.9883,0.0597,176.66,1,1,1,3
319,0.8336,1.0093,4.3006,0.0564,173.82,1,1,1,3
320,0.8243,1.4362,4.6346,0.0913,170.05,1,1,1,3
321,0.9198,1.3428,4.8319,0.0421,166.38,1,1,1,3
322,0.7142,1.1368,4.4987,0.0484,164.77,1,1,1,3
323,0.6853,0.9922,4.0039,0.0379,164.66,1,1,1,3
324,0.556,1.1362,3.8234,0.0896,163.37,1,1,1,3
325,1.2683,1.4473,4.5379,0.0507,160.17,1,1,1,3
326,0.9524,1.1154,3.6946,0.0426,160.7,1,1,1,3
327,0.6077,1.0149,4.8957,0.0448,159.39,1,1,0,2
328,0.6312,0.9727,3.3709,0.0422,162.6,1,1,0,2
329,0.6176,1.0026,3.5865,0.0402,164.64,1,1,0,2
330,0.5903,0.9886,3.8735,0.0478,165.71,1,1,0,2
331,0.6763,1.0382,4.2448,0.0415,165.25,1,1,0,2
332,0.6149,0.9863,3.5796,0.0424,167.18,1,1,0,2
333,0.5827,0.9591,3.6532,0.0442,168.85,1,1,0,2
334,0.5492,1.0049,3.4659,0.0425,170.89,1,1,0,2
335,0.611,0.9669,3.4728,0.0454,172.68,1,1,0,2
336,0.7173,0.966,4.1565,0.0648,171.71,1,1,0,2
337,0.716,1.2462,5.0946,0.1261,167.76,1,1,0,2
338,0.7116,1.2225,4.9489,0.0466,164.77,1,1,0,2
339,0.5379,1.0883,4.4506,0.0534,163.93,1,1,2,3
340,0.6657,1.1361,4.037,0.0882,163.51,1,1,1,3
341,0.6735,1.248,5.6424,0.0425,159.79,1,1,1,3
342,0.626,1.3361,2.6465,0.0395,164.34,1,1,1,3
343,0.9793,1.0582,4.0241,0.0722,163.4,1,1,1,3
344,1.5098,1.3042,3.2451,0.0404,160.59,1,1,1,3
345,0.8424,1.0314,3.0683,0.0452,163.73,1,1,1,3
346,0.6205,1.0602,3.4009,0.0499,165.37,1,1,1,3
347,0.8665,1.0476,3.7375,0.033,165.73,1,1,1,3
348,0.532,0.9699,4.1764,0.1072,165.84,1,1,0,2
349,0.5193,0.9897,3.5304,0.0432,168.16,1,1,0,2
350,0.5788,0.976,3.4718,0.0491,170.24,1,1,0,2
351,0.5796,1.0098,3.48,0.0431,172.03,1,1,0,2
352,0.5603,0.9671,3.7797,0.0498,172.26,1,1,0,2
353,0.7258,1.007,4.8258,0.044,169.7,1,1,0,2
354,0.5732,0.9639,3.6167,0.043,171.19,1,1,0,2
355,0.5919,0.9559,4.0477,0.0677,170.97,1,1,0,2
356,0.9022,1.2085,4.6453,0.081,167.85,1,1,0,2
357,0.7196,1.3364,4.773,0.0894,164.86,1,1,0,2
358,0.7472,1.3112,5.07,0.042,161.81,1,1,0,2
359,0.7696,1.1161,5.1358,0.0462,159.08,1,1,0,2
360,0.7566,2.0364,3.2346,0.0397,159.17,1,1,0,2
361,0.9196,1.0293,4.487,0.0751,157.93,1,1,0,2
362,1.4674,1.4938,3.9692,0.0463,155.87,1,1,0,2
363,0.8044,1.041,3.504,0.0451,158.09,1,1,0,2
364,0.6172,0.9858,3.6786,0.0459,158.23,1,1,0,2
365,0.5915,0.9645,3.3306,0.0438,161.91,1,1,0,2
366,0.59,1.0228,4.2261,0.0391,162.15,1,1,0,2
